Symbol,Name,Last,Sector,Industry,Time,"10Y %Chg","YTD %Chg",Beta,"Market Cap",Sales(a),"Net Income(a)","Earnings ttm","Div Yield","52W Chg"
VICI,"Vici Properties Inc",29.27,Finance,"REIT - Equity Trust Other","16:03 ET",N/A,-2.36%,0.96,27089244000,1509570000,1013850000,1.61,5.03%,-3.23
JNPR,"Juniper Networks",28.58,"Computers and Technology","Wireless Equipment","16:00 ET",+73.64%,-19.77%,0.95,9150051000,4735400000,252700000,1.23,2.99%,0.35
EMBC,"Embecta Corp",28.13,Medical,"Medical Services","16:00 ET",N/A,N/A,N/A,1590023000,289300000,98800000,0,0.00%,N/A
CNP,"Centerpoint Energy Inc",28.12,Utilities,"Utility - Electric Power","16:00 ET",+33.53%,+1.00%,0.87,17372792000,8352000000,1486000000,1.52,2.37%,2.2
MRO,"Marathon Oil Corp",28.07,Oils-Energy,"Oil - US Integrated","16:00 ET",+12.59%,+71.95%,2.56,20374424000,5601000000,946000000,2.4,1.13%,14.4
IPG,"Interpublic Group of Companies",28.05,"Business Services","Advertising Marketing Services","16:00 ET",+156.04%,-24.78%,0.99,10935986000,10240700000,952800000,2.62,4.14%,-5.57
NI,"NiSource Inc",27.72,Utilities,"Utility - Electric Power","15:59 ET",+183.81%,+0.60%,0.35,11200025000,4899600000,584900000,1.38,3.29%,1.61
PPL,"PPL Corp",26.27,Utilities,"Utility - Electric Power","16:00 ET",-6.40%,-12.56%,0.73,19155556000,5783000000,-1480000000,1.18,2.95%,-3.01
PARA,"Paramount Global Cl B",25.65,"Consumer Discretionary","Media Conglomerates","16:00 ET",-22.48%,-14.58%,1.56,16493656000,28586000000,4543000000,2.59,3.72%,-15.89
PEAK,"Healthpeak Properties Inc",24.37,Finance,"REIT - Equity Trust Other","16:00 ET",-46.91%,-32.41%,0.74,12647216000,1896180000,505540000,0.56,4.99%,-10.38
BEN,"Franklin Resources",23.78,Finance,"Finance - Investment Mgmt","16:00 ET",-37.62%,-28.86%,1.13,11538246000,8425500000,1831200000,4.26,5.03%,-10.45
NLSN,"Nielsen Holdings Plc",22.65,"Business Services","Business Information","16:00 ET",-14.11%,+10.48%,1.41,8100286000,3500000000,963000000,1.7,1.03%,-3.1
NLOK,"Nortonlifelock Inc",22,"Industrial Products","Protection - Safety","16:00 ET",+50.51%,-14.95%,0.65,12755608000,2796000000,836000000,1.73,2.25%,-5.91
AES,"The Aes Corp",19.55,Utilities,"Utility - Electric Power","16:00 ET",+47.39%,-19.18%,1.01,12629232000,11141000000,-409000000,1.47,3.26%,-6.42
T,"AT&T Inc",19.44,Utilities,"Wireless National","16:03 ET",-27.73%,+4.90%,0.57,139242560000,168864000000,20081000000,3.31,5.62%,-2.62
RF,"Regions Financial Corp",19.38,Finance,"Banks - Southeast","16:00 ET",+186.67%,-10.46%,1.25,18082576000,6605000000,2521000000,2.42,3.50%,-1.78
KIM,"Kimco Realty Corp",19.31,Finance,"REIT - Equity Trust Retail","16:03 ET",+0.89%,-21.42%,1.37,11865735000,1364590000,844060000,1.66,4.11%,-2
NWL,"Newell Rubbermaid Inc",18.72,"Consumer Staples","Consumer Prdts - Misc Staple","16:00 ET",+1.82%,-14.13%,0.71,7637345000,10589000000,572000000,1.88,4.94%,-8.59
DISH,"Dish Network Corp",18.18,"Consumer Discretionary","Cable TV","16:00 ET",-38.25%,-43.74%,1.94,9343811000,17881110000,2410640000,3.49,0.00%,-21.91
KEY,Keycorp,17.74,Finance,"Banks - Major Regional","16:00 ET",+126.62%,-22.91%,1.33,16355542000,7561000000,2625000000,2.46,4.49%,-3.87
HST,"Host Marriott Financial Trust",17.61,Finance,"REIT - Equity Trust Other","16:00 ET",+8.60%,+1.98%,1.15,12279869000,2890000000,-11000000,0.35,0.70%,-0.01
KMI,"Kinder Morgan",17.6,Oils-Energy,"Oil - Production & Pipeline","16:00 ET",-44.48%,+11.32%,0.9,40565088000,16610000000,1784000000,1.04,6.12%,-1.38
IVZ,"Invesco Plc",16.42,Finance,"Finance - Investment Mgmt","15:59 ET",-28.14%,-28.41%,1.25,7389606000,6894500000,1629800000,2.97,4.71%,-12.52
NWS,"News Cp Cl B",15.8,"Consumer Discretionary","Movie & TV Production & Dist","16:00 ET",N/A,-29.73%,1.39,9254724000,9358000000,330000000,0.99,1.26%,-8.92
NWSA,"News Cp Cl A",15.54,"Consumer Discretionary","Movie & TV Production & Dist","16:00 ET",N/A,-30.05%,1.32,9108288000,9358000000,330000000,0.99,1.28%,-10.4
WBD,"Discovery Inc Series A",14.85,"Consumer Discretionary","Broadcast - Radio & TV","16:00 ET",N/A,N/A,1.25,33927276000,12191000000,1006000000,2.08,0.00%,N/A
HPE,"Hewlett Packard Enterprise Comp",14.07,"Computers and Technology","Computer - Integrated Systems","16:03 ET",N/A,-10.53%,1.15,17761840000,27784000000,3427000000,2.78,3.50%,-1.52
AAL,"American Airlines Gp",13.31,Transportation,"Transportation - Airline","16:00 ET",-2.85%,-25.47%,1.45,8411219000,29882000000,-1993000000,-6.42,0.00%,-9.41
HBAN,"Huntington Bcshs",12.54,Finance,"Banks - Midwest","16:00 ET",+91.25%,-18.26%,1.18,17615502000,6080000000,1295000000,1.38,5.06%,-1.86
F,"Ford Motor Company",12.27,Auto-Tires-Trucks,"Auto - Domestic","16:03 ET",+27.22%,-40.64%,1.15,49041128000,136341000000,17937000000,1.28,3.39%,-2.67
AMCR,"Amcor Plc",12.1,"Industrial Products","Containers - Paper Products","16:00 ET",N/A,+0.83%,0.77,18168452000,12861000000,939000000,0.8,3.91%,0.1
NCLH,"Norwegian Cruise Ord",11.73,"Consumer Discretionary","Leisure & Recreation Services","16:00 ET",N/A,-43.11%,2.47,4660403000,647990000,-4506590000,-7.95,0.00%,-19.07
VTRS,"Viatris Inc",10.7,Medical,"Medical Services","16:00 ET",N/A,-21.03%,1.27,12511451000,17886300000,-1269100000,3.7,4.46%,-4.61
LUMN,Centurylink,10.5,"Business Services","Technology Services","16:00 ET",-73.18%,-16.18%,1.01,10940054000,19687000000,2033000000,2.11,9.52%,-4.33
CCL,"Carnival Corp",9.84,"Consumer Discretionary","Leisure & Recreation Services","16:00 ET",-72.22%,-50.90%,2.03,9421954000,1908000000,-9501000000,-6.92,0.00%,-18.73
UAA,"Under Armour",9.57,"Consumer Staples","Textile - Apparel","15:59 ET",-19.90%,-54.77%,1.27,4506139000,5683470000,360060000,0.68,0.00%,-11.21
UA,"Under Armour Inc Cl C",8.78,"Consumer Staples","Textile - Apparel","15:59 ET",N/A,-51.22%,1.32,4125070000,5683470000,360060000,0.68,0.00%,-9.13
"Downloaded from Barchart.com as of 06-15-2022 03:18pm CDT"
